user_id,password,role
student1@mycsu.edu,student1,student
student2@mycsu.edu,student2,student
student3@mycsu.edu,student3,student
student4@mycsu.edu,student4,student
student5@mycsu.edu,student5,student
student6@mycsu.edu,student6,student
student7@mycsu.edu,student7,student
student8@mycsu.edu,student8,student
student9@mycsu.edu,student9,student
student10@mycsu.edu,student10,student
student11@mycsu.edu,student11,student
student12@mycsu.edu,student12,student
student13@mycsu.edu,student13,student
student14@mycsu.edu,student14,student
student15@mycsu.edu,student15,student
student16@mycsu.edu,student16,student
student17@mycsu.edu,student17,student
student18@mycsu.edu,student18,student
student19@mycsu.edu,student19,student
student20@mycsu.edu,student20,student
student21@mycsu.edu,student21,student
student22@mycsu.edu,student22,student
student23@mycsu.edu,student23,student
student24@mycsu.edu,student24,student
student25@mycsu.edu,student25,student
student26@mycsu.edu,student26,student
student27@mycsu.edu,student27,student
student28@mycsu.edu,student28,student
student29@mycsu.edu,student29,student
student30@mycsu.edu,student30,student
student31@mycsu.edu,student31,student
student32@mycsu.edu,student32,student
student33@mycsu.edu,student33,student
student34@mycsu.edu,student34,student
student35@mycsu.edu,student35,student
student36@mycsu.edu,student36,student
student37@mycsu.edu,student37,student
student38@mycsu.edu,student38,student
student39@mycsu.edu,student39,student
student40@mycsu.edu,student40,student
student41@mycsu.edu,student41,student
student42@mycsu.edu,student42,student
student43@mycsu.edu,student43,student
student44@mycsu.edu,student44,student
student45@mycsu.edu,student45,student
student46@mycsu.edu,student46,student
student47@mycsu.edu,student47,student
student48@mycsu.edu,student48,student
student49@mycsu.edu,student49,student
student50@mycsu.edu,student50,student
student51@mycsu.edu,student51,student
student52@mycsu.edu,student52,student
student53@mycsu.edu,student53,student
student54@mycsu.edu,student54,student
student55@mycsu.edu,student55,student
student56@mycsu.edu,student56,student
student57@mycsu.edu,student57,student
student58@mycsu.edu,student58,student
student59@mycsu.edu,student59,student
student60@mycsu.edu,student60,student
student61@mycsu.edu,student61,student
student62@mycsu.edu,student62,student
student63@mycsu.edu,student63,student
student64@mycsu.edu,student64,student
student65@mycsu.edu,student65,student
student66@mycsu.edu,student66,student
student67@mycsu.edu,student67,student
student68@mycsu.edu,student68,student
student69@mycsu.edu,student69,student
student70@mycsu.edu,student70,student
student71@mycsu.edu,student71,student
student72@mycsu.edu,student72,student
student73@mycsu.edu,student73,student
student74@mycsu.edu,student74,student
student75@mycsu.edu,student75,student
student76@mycsu.edu,student76,student
student77@mycsu.edu,student77,student
student78@mycsu.edu,student78,student
student79@mycsu.edu,student79,student
student80@mycsu.edu,student80,student
student81@mycsu.edu,student81,student
student82@mycsu.edu,student82,student
student83@mycsu.edu,student83,student
student84@mycsu.edu,student84,student
student85@mycsu.edu,student85,student
student86@mycsu.edu,student86,student
student87@mycsu.edu,student87,student
student88@mycsu.edu,student88,student
student89@mycsu.edu,student89,student
student90@mycsu.edu,student90,student
student91@mycsu.edu,student91,student
student92@mycsu.edu,student92,student
student93@mycsu.edu,student93,student
student94@mycsu.edu,student94,student
student95@mycsu.edu,student95,student
student96@mycsu.edu,student96,student
student97@mycsu.edu,student97,student
student98@mycsu.edu,student98,student
student99@mycsu.edu,student99,student
student100@mycsu.edu,student100,student
student101@mycsu.edu,student101,student
student102@mycsu.edu,student102,student
student103@mycsu.edu,student103,student
student104@mycsu.edu,student104,student
student105@mycsu.edu,student105,student
student106@mycsu.edu,student106,student
student107@mycsu.edu,student107,student
student108@mycsu.edu,student108,student
student109@mycsu.edu,student109,student
student110@mycsu.edu,student110,student
student111@mycsu.edu,student111,student
student112@mycsu.edu,student112,student
student113@mycsu.edu,student113,student
student114@mycsu.edu,student114,student
student115@mycsu.edu,student115,student
student116@mycsu.edu,student116,student
student117@mycsu.edu,student117,student
student118@mycsu.edu,student118,student
student119@mycsu.edu,student119,student
student120@mycsu.edu,student120,student
student121@mycsu.edu,student121,student
student122@mycsu.edu,student122,student
student123@mycsu.edu,student123,student
student124@mycsu.edu,student124,student
student125@mycsu.edu,student125,student
student126@mycsu.edu,student126,student
student127@mycsu.edu,student127,student
student128@mycsu.edu,student128,student
student129@mycsu.edu,student129,student
student130@mycsu.edu,student130,student
student131@mycsu.edu,student131,student
student132@mycsu.edu,student132,student
student133@mycsu.edu,student133,student
student134@mycsu.edu,student134,student
student135@mycsu.edu,student135,student
student136@mycsu.edu,student136,student
student137@mycsu.edu,student137,student
student138@mycsu.edu,student138,student
student139@mycsu.edu,student139,student
student140@mycsu.edu,student140,student
student141@mycsu.edu,student141,student
student142@mycsu.edu,student142,student
student143@mycsu.edu,student143,student
student144@mycsu.edu,student144,student
student145@mycsu.edu,student145,student
student146@mycsu.edu,student146,student
student147@mycsu.edu,student147,student
student148@mycsu.edu,student148,student
student149@mycsu.edu,student149,student
student150@mycsu.edu,student150,student
student151@mycsu.edu,student151,student
student152@mycsu.edu,student152,student
student153@mycsu.edu,student153,student
student154@mycsu.edu,student154,student
student155@mycsu.edu,student155,student
student156@mycsu.edu,student156,student
student157@mycsu.edu,student157,student
student158@mycsu.edu,student158,student
student159@mycsu.edu,student159,student
student160@mycsu.edu,student160,student
student161@mycsu.edu,student161,student
student162@mycsu.edu,student162,student
student163@mycsu.edu,student163,student
student164@mycsu.edu,student164,student
student165@mycsu.edu,student165,student
student166@mycsu.edu,student166,student
student167@mycsu.edu,student167,student
student168@mycsu.edu,student168,student
student169@mycsu.edu,student169,student
student170@mycsu.edu,student170,student
student171@mycsu.edu,student171,student
student172@mycsu.edu,student172,student
student173@mycsu.edu,student173,student
student174@mycsu.edu,student174,student
student175@mycsu.edu,student175,student
student176@mycsu.edu,student176,student
student177@mycsu.edu,student177,student
student178@mycsu.edu,student178,student
student179@mycsu.edu,student179,student
student180@mycsu.edu,student180,student
student181@mycsu.edu,student181,student
student182@mycsu.edu,student182,student
student183@mycsu.edu,student183,student
student184@mycsu.edu,student184,student
student185@mycsu.edu,student185,student
student186@mycsu.edu,student186,student
student187@mycsu.edu,student187,student
student188@mycsu.edu,student188,student
student189@mycsu.edu,student189,student
student190@mycsu.edu,student190,student
student191@mycsu.edu,student191,student
student192@mycsu.edu,student192,student
student193@mycsu.edu,student193,student
student194@mycsu.edu,student194,student
student195@mycsu.edu,student195,student
student196@mycsu.edu,student196,student
student197@mycsu.edu,student197,student
student198@mycsu.edu,student198,student
student199@mycsu.edu,student199,student
student200@mycsu.edu,student200,student
student201@mycsu.edu,student201,student
student202@mycsu.edu,student202,student
student203@mycsu.edu,student203,student
student204@mycsu.edu,student204,student
student205@mycsu.edu,student205,student
student206@mycsu.edu,student206,student
student207@mycsu.edu,student207,student
student208@mycsu.edu,student208,student
student209@mycsu.edu,student209,student
student210@mycsu.edu,student210,student
student211@mycsu.edu,student211,student
student212@mycsu.edu,student212,student
student213@mycsu.edu,student213,student
student214@mycsu.edu,student214,student
student215@mycsu.edu,student215,student
student216@mycsu.edu,student216,student
student217@mycsu.edu,student217,student
student218@mycsu.edu,student218,student
student219@mycsu.edu,student219,student
student220@mycsu.edu,student220,student
student221@mycsu.edu,student221,student
student222@mycsu.edu,student222,student
student223@mycsu.edu,student223,student
student224@mycsu.edu,student224,student
student225@mycsu.edu,student225,student
student226@mycsu.edu,student226,student
student227@mycsu.edu,student227,student
student228@mycsu.edu,student228,student
student229@mycsu.edu,student229,student
student230@mycsu.edu,student230,student
student231@mycsu.edu,student231,student
student232@mycsu.edu,student232,student
student233@mycsu.edu,student233,student
student234@mycsu.edu,student234,student
student235@mycsu.edu,student235,student
student236@mycsu.edu,student236,student
student237@mycsu.edu,student237,student
student238@mycsu.edu,student238,student
student239@mycsu.edu,student239,student
student240@mycsu.edu,student240,student
student241@mycsu.edu,student241,student
student242@mycsu.edu,student242,student
student243@mycsu.edu,student243,student
student244@mycsu.edu,student244,student
student245@mycsu.edu,student245,student
student246@mycsu.edu,student246,student
student247@mycsu.edu,student247,student
student248@mycsu.edu,student248,student
student249@mycsu.edu,student249,student
student250@mycsu.edu,student250,student
proof1@mycsu.edu,proof1,professor
