Professor_id,professor_Name,Rank,course_id
proof1@mycsu.edu,proof1,senior professor,DATA220
proof1@mycsu.edu,proof1,senior professor,DATA226
proof1@mycsu.edu,proof1,senior professor,DATA200
proof2@mycsu.edu,proof2,junior professor,DATA228
proof2@mycsu.edu,proof2,junior professor,DATA230
proof3@mycsu.edu,proof3,senior professor,DATA236
proof3@mycsu.edu,proof3,senior professor,DATA245
proof4@mycsu.edu,proof4,junior professor,DATA255
proof4@mycsu.edu,proof4,junior professor,DATA266
proof4@mycsu.edu,proof4,junior professor,DATA204
proof5@mycsu.edu,proof5,senior professor,DATA270
proof5@mycsu.edu,proof5,senior professor,DATA275
proof5@mycsu.edu,proof5,senior professor,DATA210
proof6@mycsu.edu,proof6,junior professor,DATA280
proof6@mycsu.edu,proof6,junior professor,DATA290
proof6@mycsu.edu,proof6,junior professor,DATA212
proof7@mycsu.edu,proof7,junior professor,DATA300
proof7@mycsu.edu,proof7,junior professor,DATA310
proof8@mycsu.edu,proof8,senior professor,DATA320
proof8@mycsu.edu,proof8,senior professor,DATA330
proof8@mycsu.edu,proof8,senior professor,DATA221
proof9@mycsu.edu,proof9,junior professor,DATA340
proof9@mycsu.edu,proof9,junior professor,DATA350
proof10@mycsu.edu,proof10,junior professor,DATA360
Proof2@mycsu.edu,proof2,junior professor,DATA201
Proof3@mycsu.edu,proof3,senior professor,DATA202
proof11@mycsu.edu,proof11,Senior professor,DATA300
proof11@mycsu.edu,proof11,Senior professor,DATA301
proof11@mycsu.edu,proof11,Senior professor,DATA302
proof7@mycsu.edu,proof7,junior professor,DATA303
